annex,entry_seq,ref_no,ref_inferred,status,amended_by,mid_amendments,pages,chemical_name,colour_index,inci_name,cas,ec,colour,product_type,max_concentration,other,wording,needs_review
IV,95,95,0,active,▼B,,403,"6,15-Dihydroanthrazine-
5,9,14,18-tetrone",69800,,,,Blue,,,,,0
IV,96,96,0,active,▼B,,403,"7,16-dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone",69825,,,,Blue,,,,,0
IV,97,97,0,active,▼B,,403,"Bisbenzimidazo[2,1-b:2',1'-i]
benzo[lmn][3,8]phenanthroline-8,17-dione",71105,,,,Orange,"Not to be used in products
applied on mucous
membranes",,,,0
IV,98,98,0,active,▼B,,403,"2-(1,3-Dihydro-3-oxo-2H-
indazol-2-ylidene)-1,2-
dihydro-3H-indol-3-one",73000,,,,Blue,,,,,0
IV,99,99,0,active,▼B,,403,"Disodium 5,5'-(2-(1,3-dihydro-
3-oxo-2H-indazol-2-ylidene)-
1,2-dihydro-3H-indol-3-one)
disulphonate",73015,,,212-728-8,Blue,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 132)",,0
IV,100,100,0,active,▼B,,404,"6-Chloro-2-(6-chloro-4-
methyl-3-oxobenzo[b]thien-2
(3H)-ylidene)-4-methylbenzo
[b]thiophene-3(2H)-one",73360,,,,Red,,,,,0
IV,101,101,0,active,▼B,,404,"5-Chloro-2-(5-chloro-7-
methyl-3-oxobenzo[b]thien-2
(3H)-ylidene)-7-methylbenzo
[b]thiophene-3(2H)-one",73385,,,,Violet,,,,,0
IV,102,102,0,active,▼B,,404,"5,12-Dihydroquino[2,3-b]
acridine-7,14-dione",73900,,,,Violet,Rinse-off products,,,,0
IV,103,103,0,active,▼B,,404,"5,12-Dihydro-2,9-
dimethylquino[2,3-b]acridine-
7,14-dione",73915,,,,Red,Rinse-off products,,,,0
IV,104,104,0,active,▼B,,404,"29H,31H-Phthalocyanine",74100,,,,Blue,Rinse-off products,,,,0
IV,105,105,0,active,▼B,,404,"29H,31H-Phthalocyaninato
(2-)-N29,N30,N31,N32 copper",74160,,,,Blue,,,,,0
IV,106,106,0,active,▼B,,404,"Disodium [29H,31H-phthalocyaninedisulphonato
(4-)-N29,N30,N31,N32]
cuprate (2-)",74180,,,,Blue,Rinse-off products,,,,0
IV,107,107,0,active,▼B,,405,Polychloro copper phthalocyanine,74260,,,,Green,"Not to be used in eye
products",,,,0
IV,108,108,0,active,▼B,,405,"8,8'-diapo-.psi.,.psi.-Carotenedioic acid",75100,,,,Yellow,,,,,0
IV,109,109,0,active,▼B,,405,Annatto,75120,,,"215-735-4/
289-561-2/
230-248-7",Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160b)",,0
IV,110,110,0,active,▼B,,405,Lycopene,75125,,,—,Yellow,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160d)",,0
IV,111,111,0,active,▼B,,405,CI Food Orange 5,75130,,,214-171-6,Orange,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 160a)",,0
IV,112,112,0,active,▼B,,405,(3R)-beta-4-Caroten-3-ol,75135,,,,Yellow,,,,,0
IV,113,113,0,active,▼B,,405,"2-Amino-1,7-dihydro-6H-
purin-6-one",75170,,,,White,,,,,0
IV,114,114,0,active,▼B,,405,Curcumins,75300,,,207-280-5,Yellow,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 100)",,0
IV,115,115,0,active,▼B,,406,Carmines,75470,,,"215-680-6/
215-023-3/
215-724-4",Red,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 120)",,0
IV,116,116,0,active,▼B,,406,"Trisodium (2S-trans)-[18-
carboxy-20-(carboxymethyl)-
13-ethyl-2,3-dihydro-
3,7,12,17-tetramethyl-8-vinyl-
21H,23H-porphine-2-
propionato
(5-)-N21,N22,N23,N24]
cuprate(3-) (Chlorophylls)",75810,,,"215-800-7/
207-536-6/
208-272-4/
287-483-3/
239-830-5/
246-020-5",Green,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 140, E 141)",,0
IV,117,117,0,active,▼B,,406,Aluminium,77000,,,231-072-3,White,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 173)",,0
IV,118,118,0,active,▼B,,406,Aluminium hydroxide sulphate,77002,,,,White,,,,,0
IV,119,119,0,active,▼B,,406,"Natural hydrated aluminium
silicate, Al2O3.2SiO2.2H2O,
containing calcium,
magnesium or iron carbonates,
ferric hydroxide, quartz-sand,
mica, etc. as impurities",77004,,,,White,,,,,0
IV,120,120,0,active,▼B,,406,Lazurite,77007,,,,Blue,,,,,0
IV,121,121,0,active,▼B,,407,"Aluminum silicate coloured
with ferric oxide",77015,,,,Red,,,,,0
IV,122,122,0,active,▼B,,407,Barium sulfate,77120,,,,White,,,,,0
IV,123,123,0,active,▼B,,407,Bismuth chloride oxide,77163,,,,White,,,,,0
IV,124,124,0,active,▼B,,407,Calcium carbonate,77220,,,"207-439-9/
215-279-6",White,,,"Purity criteria as set out in
Commission Directive 95/
45/EC (E 170)",,0
